"","rnum","X.1","X","Strike.ID","Date","Village.local.area","District","Province","Type.of.attack","Reportedly.drone.","US.confirmed.","US.only.source.","Counter..terrorism..force.protection.or.strategic.effects.","Reported.target.group.","Time","Reported.target.type","Minimum.strikes","Maximum.strikes","Minimum.total.people.killed","Maximum.total.people.killed","Minimum.civilians.reported.killed","Maximum.civilians.reported.killed","Minimum.children.reported.killed","Maximum.children.reported.killed","Minimum.reported.injured","Maximum.reported.injured","Strike.link","Timeline.URL","Index","locs","long","lat","NAME_0","NAME_1","NAME_2"
"1",1,301,301,"AFG0301","31/12/2016","-","-","-","US strike",0,1,1,"-","-","-","-",453,448,0,0,0,0,0,0,0,0,"https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#307","",307,"-, Afghanistan",66.2385139,33.7680065,"Afghanistan","Daykundi","Day Kundi"
"2",2,308,308,"AFG0308","31/01/2017","-","-","-","US strike",0,1,1,"-","-","-","-",96,96,0,0,0,0,0,0,0,0,"https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/315","",315,"-, Afghanistan",66.2385139,33.7680065,"Afghanistan","Daykundi","Day Kundi"
"3",3,132,132,"AFG0132","22/12/2015","28th canal area","Ghani Khel","Nangarhar","US air and ground operations",1,0,0,"-","Taliban","-","-",1,1,3,3,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#136","",136,"Ghani Khel, Afghanistan",70.4754,34.12,"Afghanistan","Nangarhar","Dih Bala"
"4",4,113,113,"AFG0113","23/10/2015","Abdul Khel","Achin","Nangarhar","US strike",0,0,0,"-","-","Afternoon","Checkpost",1,1,10,10,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#103","",103,"Achin, Afghanistan",70.6692329,34.0454314,"Afghanistan","Nangarhar","Achin"
"5",5,273,273,"AFG0273","04/10/2016","Abdul Khel","Achin","Nangarhar","US strike",1,0,0,"-","ISIS","-","-",1,1,13,13,0,0,0,0,2,2,"https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#276","",276,"Achin, Afghanistan",70.6692329,34.0454314,"Afghanistan","Nangarhar","Achin"
"6",6,152,152,"AFG0152","22/01/2016","Abdulkhel area","Achin","Nangarhar","US strike",1,0,0,"-","ISIS","Night","-",1,1,3,3,0,0,0,0,0,0,"https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#156","",156,"Achin, Afghanistan",70.6692329,34.0454314,"Afghanistan","Nangarhar","Achin"
"7",7,145,145,"AFG0145","14/01/2016","Abdulkhelo area, Bandar locality","Achin","Nangarhar","US strike",1,1,0,"FP","ISIS","1600","House",1,1,12,12,0,0,0,0,0,0,"https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#149","",149,"Achin, Afghanistan",70.6692329,34.0454314,"Afghanistan","Nangarhar","Achin"
"8",8,128,128,"AFG0128","08/12/2015","Ador","Khogyani","Nangarhar","US strike",1,0,0,"-","Taliban","-","-",1,1,11,11,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#118","",118,"Khogyani, Afghanistan",68.298941,33.559046,"Afghanistan","Ghazni","Jaghatu"
"9",9,378,378,"AFG0378","05/08/2017","Aigal area","Chapa Dara","Kunar","US strike",1,0,0,"-","ISIS","Night","ISIS hideout",1,1,3,3,0,0,0,0,0,0,"","",377,"Chapa Dara, Afghanistan",70.703226,34.959001,"Afghanistan","Kunar","Chapa Dara"
"10",10,360,360,"AFG0360","02/07/2017","Ainak, Loykahal, Zhawar Sahib","Nawar","Helmand","US strike",1,1,0,"-","Taliban","Night","18 motorbikes and four cars, or two cars",1,3,1,42,0,0,0,0,0,36,"","",360,"Nawar, Afghanistan",69.8106038,34.2827252,"Afghanistan","Nangarhar","Hisarak"
