"","rnum","X.1","Strike.ID","Date","Location","Area","Minimum.total.people.killed","Maximum.total.people.killed","Minimum.civilians.reported.killed","Maximum.civilians.reported.killed","Minimum.children.reported.killed","Maximum.children.reported.killed","Minimum.reported.injured","Maximum.reported.injured","Strike.link","X","Index","locs","lat","long","NAME_0","NAME_1","NAME_2"
"1",1,5,"B5","13/01/2006","Damadola","Bajaur Agency",13,22,10,18,5,6,0,0,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B5","",5,"Damadola, Pakistan",34.41,71.3,"Pakistan","F.A.T.A.","F.A.T.A."
"2",2,6,"B6","30/10/2006","Chenegai","Bajaur Agency",81,83,80,82,68,70,3,3,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B6","",6,"Chenegai, Pakistan",34.41,71.3,"Pakistan","F.A.T.A.","F.A.T.A."
"3",3,15,"B15","14/05/2008","Damadola","Bajaur Agency",12,20,4,6,1,4,9,9,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B15","",15,"Damadola, Pakistan",34.41,71.3,"Pakistan","F.A.T.A.","F.A.T.A."
"4",4,93,"Ob42","24/10/2009","Damadola","Bajaur Agency",20,30,0,0,0,0,8,8,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob42","",93,"Damadola, Pakistan",34.41,71.3,"Pakistan","F.A.T.A.","F.A.T.A."
"5",5,424,"Ob373","21/05/2016","Ahmad Wal","Balochistan",2,2,1,1,0,0,0,0,"https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob373","",424,"Ahmad Wal, Pakistan",32.3853301,73.4022223,"Pakistan","Punjab","Gujranwala"
"6",6,11,"B11","03/12/2007","Jani Khel","Bannu Frontier Region",0,0,0,0,0,0,1,1,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B11","",11,"Jani Khel, Pakistan",32.5697813,71.5464463,"Pakistan","Punjab","Sargodha"
"7",7,41,"B41","19/11/2008","Jani Khel","Bannu Frontier Region",3,6,0,3,0,0,7,7,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B41","",41,"Jani Khel, Pakistan",32.5697813,71.5464463,"Pakistan","Punjab","Sargodha"
"8",8,58,"Ob7","15/03/2009","Jani Khel","Bannu Frontier Region",2,6,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob7","",58,"Jani Khel, Pakistan",32.5697813,71.5464463,"Pakistan","Punjab","Sargodha"
"9",9,144,"Ob93","15/05/2010","Khyber","Khyber Agency",5,15,0,2,0,0,15,15,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob93","",144,"Khyber, Pakistan",33.9405,71.0498,"Pakistan","F.A.T.A.","F.A.T.A."
"10",10,222,"Ob171","16/12/2010","Tirah Valley","Khyber Agency",7,7,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob171","",222,"Tirah Valley, Pakistan",33.9405,71.0498,"Pakistan","F.A.T.A.","F.A.T.A."
