"","rnum","X.2","X","Date","Location","Confirmed..possible.US.strike","Air.strike.","Drone.strike","Strike.type","Minimum.strikes","Maximum.strikes","Minimum.people.killed","Maximum.people.killed","Minimum.civilians.killed","Maximum.civilians.killed","Minimum.children.killed","Maximum.children.killed","Minimum.people.injured","Maximum.people.injured","Strike.link","X.1","locs","long","lat","NAME_0","NAME_1","NAME_2"
"1",1,3,"SOM003","09/01/2007","Hayo","Possible",1,0,"Air assault - helicopter",1,1,4,31,4,31,0,1,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM003","","Hayo, Somalia",41.814461,0.43428,"Somalia","Jubbada Hoose","Afmadow"
"2",2,5,"SOM005","01/06/2007","Bargal","Confirmed",0,0,"Naval operation - USS Chafee shore bombardment",1,1,8,12,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM005","","Bargal, Somalia",51.07795,11.286823,"Somalia","Bari","Iskushuban"
"3",3,6,"SOM006","03/03/2008","Dhobley","Confirmed",0,0,"Naval operation - cruise missile
Possible air operation - AC-130 Gunship",1,1,0,6,0,4,0,0,3,8,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM006","","Dhobley, Somalia",41.0135745550373,0.41235045,"Somalia","Jubbada Hoose","Afmadow"
"4",4,8,"SOM008","14/09/2009","Barawe","Confirmed",1,0,"Air operation - helicopter
Ground assault - body retrieval",1,1,2,6,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM008","","Barawe, Somalia",44.10627,1.49496,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
"5",5,9,"SOM009","03/04/2011","Dhobley","Possible",1,0,"Air operation - airstrike",1,1,1,36,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM009","","Dhobley, Somalia",41.0135745550373,0.41235045,"Somalia","Jubbada Hoose","Afmadow"
"6",6,10,"SOM010","23/06/2011","Kismayo","Confirmed",1,1,"Air operation - drone strike
Helicopter raid",1,1,2,2,0,0,0,0,2,3,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM010","","Kismayo, Somalia",42.5408831,-0.3602285,"Somalia","Jubbada Hoose","Kismaayo"
"7",7,11,"SOM011","06/07/2011","Juba","Possible",1,1,"Air operation - drone or airstrike",1,1,0,0,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM011","","Juba, Somalia",42.5406069,-0.348861,"Somalia","Jubbada Hoose","Kismaayo"
"8",8,12,"SOM012","25/09/2011","Kismayo","Possible",1,1,"Air operation - drone strike",1,1,0,0,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM012","","Kismayo, Somalia",42.5408831,-0.3602285,"Somalia","Jubbada Hoose","Kismaayo"
"9",9,13,"SOM013","14/11/2011","Afgoye","Possible",1,1,"Air operation - drone strike",1,1,0,2,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM013","","Afgoye, Somalia",44.38518,1.66755,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
"10",10,15,"SOM015","24/02/2012","Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,3,7,0,1,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM015","","Lower Shabelle, Somalia",44.5937239,1.8427539,"Somalia","Shabeellaha Hoose","Qoryooley"
"11",11,17,"SOM017","05/10/2013","Barawe, Shabeellaha Hoose","Confirmed",0,0,"Ground operation - amphibious assault",1,1,1,7,0,0,0,0,1,1,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM017","","Barawe, Shabeellaha Hoose, Somalia",44.10627,1.49496,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
"12",12,20,"SOM020","01/08/2014","Barawe, Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,6,6,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM020","","Barawe, Lower Shabelle, Somalia",44.10627,1.49496,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
"13",13,21,"SOM021","29/12/2014","Saakow","Confirmed",1,1,"Air operation - drone strike",1,1,2,3,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM021","","Saakow, Somalia",42.1361764483563,1.7,"Somalia","Jubbada Dhexe","Saakow"
"14",14,27,"SOM027","21/11/2015","Balad Amin, Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,5,10,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM027","","Balad Amin, Lower Shabelle, Somalia",45.23913,2.27959,"Somalia","Shabeellaha Hoose","Afgooye"
"15",15,34,"SOM034","01/04/2016","Unknown","Confirmed",1,1,"Air operation - drone strike",1,1,0,22,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM034","","Unknown, Somalia",46.3687855,5.5142678,"Somalia","Galguduud","Dhuusamareeb"
"16",16,35,"SOM035","02/04/2016","Unknown","Confirmed",1,1,"Air operation - drone strike",1,1,6,6,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM035","","Unknown, Somalia",46.3687855,5.5142678,"Somalia","Galguduud","Dhuusamareeb"
"17",17,37,"SOM037","11/04/2016","Lower Juba","Confirmed",1,1,"Air operation - drone strike",1,1,8,12,3,3,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM037","","Lower Juba, Somalia",42,0,"Somalia","Jubbada Hoose","Afmadow"
"18",18,38,"SOM038","12/05/2016","Afgoye, Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,5,5,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM038","","Afgoye, Lower Shabelle, Somalia",44.38518,1.66755,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
"19",19,43,"SOM043","26/09/2016","Caba, near Kismayo","Confirmed",1,1,"Air operation - drone or airstrike",1,1,4,4,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM043","","Caba, near Kismayo, Somalia",41.9524,-0.2324,"Somalia","Jubbada Hoose","Kismaayo"
"20",20,60,"SOM060","31/08/2017","Barawe, Lower Shabelle","Confirmed",1,1,"Air operation - drone or airstrike",1,1,1,1,0,0,0,0,1,1,"","","Barawe, Lower Shabelle, Somalia",44.10627,1.49496,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
"21",21,61,"SOM061","05/09/2017","Bay region","Confirmed",1,0,"Air operation - drone or airstrike",1,1,3,3,0,0,0,0,0,0,"","","Bay region, Somalia",43.6293816,2.6366011,"Somalia","Bay","Buur Xakaba"
"22",22,62,"SOM062","07/09/2017","Barawe, Lower Shabelle","Confirmed",1,0,"Air operation - drone or airstrike",1,1,1,1,0,0,0,0,0,0,"","","Barawe, Lower Shabelle, Somalia",44.10627,1.49496,"Somalia","Shabeellaha Hoose","Kuntuwaaray"
