"","rnum","Strike.ID","X.x","Location.x","Province.x","locs","long","lat","Date","Location.y","Province.y","Type.of.attack","Confirmed..possible.US.attack.","Air.operation.","Drone.strike","Minimum.number.of.strikes","Maximum.number.of.strikes","Minimum.people.killed","Maximum.people.killed","Minimum.civilians.reported.killed","Maximum.civilians.reported.killed","Minimum.children.reported.killed","Maximum.children.reported.killed","Minimum.people.injured","Maximum.people.injured","Strike.link","X.y","NAME_0","NAME_1","NAME_2"
"1",1,"YEM003",3,"Arhab","Sanaa","Arhab, Yemen",44.246602,15.790939,"17/12/2009","Arhab","Sanaa","US-Yemen ground operation
Possible drone strike","Confirmed",0,0,1,1,0,0,0,0,0,0,0,0,"YEM003","","Yemen","San`a'","Arhab"
"2",2,"YEM004",4,"Rafd","Shabwa","Rafd, Yemen",44.235559,14.181985,"24/12/2009","Rafd","Shabwa","Airstrike
Possible cruise missile strike","Confirmed",1,0,1,1,30,34,0,0,0,0,0,0,"YEM004","","Yemen","Ibb","Al Makhadir"
"3",3,"YEM006",6,"Al Ajashir","Saada","Al Ajashir, Yemen",44.8,17.183333,"15/01/2010","Al Ajashir","Saada","Airstrike","Possible",1,0,1,1,0,6,0,0,0,0,0,0,"YEM006","","Yemen","Sa`dah","Kitaf wa Al Boqe'e"
"4",4,"YEM013",13,"Zinjibar","Abyan","Zinjibar, Yemen",45.3812081,13.1285811,"03/06/2011","Zinjibar","Abyan","Drone strike","Confirmed",1,1,1,1,7,7,4,4,0,0,0,0,"YEM013","","Yemen","Abyan","Zingibar"
"5",5,"YEM014",14,"Zinjibar","Abyan","Zinjibar, Yemen",45.3812081,13.1285811,"10/06/2011","Zinjibar","Abyan","Airstrike
Possible drone strike","Possible",1,1,1,1,1,1,0,0,0,0,0,0,"YEM014","","Yemen","Abyan","Zingibar"
"6",6,"YEM015",15,"Raia","Abyan","Raia, Yemen",43.327237,15.771984,"10/06/2011","Raia","Abyan","Airstrike
Possible drone strike","Possible",1,1,1,3,2,3,2,3,1,1,0,1,"YEM015","","Yemen","Hajjah","Ku'aydinah"
"7",7,"YEM016",16,"Jaar","Abyan","Jaar, Yemen",45.305762,13.2231254,"18/06/2011","Jaar","Abyan","Airstrike
Possible drone strike","Possible",1,1,1,1,0,0,0,0,0,0,6,6,"YEM016","","Yemen","Abyan","Khanfir"
"8",8,"YEM020",20,"Al Khamila","Abyan","Al Khamila, Yemen",45.313889,13.124444,"01/08/2011","Al Khamila","Abyan","Drone strike
Possible Yemen Air Force airstrike","Confirmed",1,1,2,4,13,16,0,0,0,0,12,17,"YEM020","","Yemen","Abyan","Khanfir"
"9",9,"YEM021",21,"Zinjibar","Abyan","Zinjibar, Yemen",45.3812081,13.1285811,"24/08/2011","Zinjibar","Abyan","Airstrike","Possible",1,0,1,1,30,30,0,0,0,0,40,40,"YEM021","","Yemen","Abyan","Zingibar"
"10",10,"YEM023",23,"Wadi Hassan","Abyan","Wadi Hassan, Yemen",45.4489835,13.1281414,"25/08/2011","Wadi Hassan","Abyan","Airstrike","Possible",1,0,1,1,8,8,0,0,0,0,3,3,"YEM023","","Yemen","Abyan","Zingibar"
"11",11,"YEM025",25,"Jaar","Abyan","Jaar, Yemen",45.305762,13.2231254,"05/09/2011","Jaar","Abyan","Airstrike","Possible",1,0,1,1,3,7,3,7,0,0,4,4,"YEM025","","Yemen","Abyan","Khanfir"
"12",12,"YEM026",26,"Jaar","Abyan","Jaar, Yemen",45.305762,13.2231254,"05/09/2011","Jaar","Abyan","Airstrike","Possible",1,0,2,2,9,11,1,1,1,1,2,2,"YEM026","","Yemen","Abyan","Khanfir"
"13",13,"YEM029",29,"Shaqra","Abyan","Shaqra, Yemen",45.6969145,13.3566042,"21/09/2011","Shaqra","Abyan","Airstrike","Possible",1,0,1,1,6,7,0,0,0,0,3,3,"YEM029","","Yemen","Abyan","Khanfir"
"14",14,"YEM032",32,"Azzan","Shabwa","Azzan, Yemen",47.4475743,14.3267791,"14/10/2011","Azzan","Shabwa","Drone strike","Confirmed",1,1,1,1,0,0,0,0,0,0,0,0,"YEM032","","Yemen","Shabwah","Mayfa'a"
"15",15,"YEM033",33,"Azzan","Shabwa","Azzan, Yemen",47.4475743,14.3267791,"14/10/2011","Azzan","Shabwa","Drone strike","Confirmed",1,1,1,1,7,9,2,2,2,2,0,0,"YEM033","","Yemen","Shabwah","Mayfa'a"
"16",16,"YEM035",35,"Azzan","Shabwa","Azzan, Yemen",47.4475743,14.3267791,"14/10/2011","Azzan","Shabwa","Airstrike
Possible drone strike","Possible",1,1,1,1,2,2,1,2,1,1,0,0,"YEM035","","Yemen","Shabwah","Mayfa'a"
"17",17,"YEM036",36,"Zinjibar","Abyan","Zinjibar, Yemen",45.3812081,13.1285811,"22/12/2011","Zinjibar","Abyan","Airstrike
Possible drone strike","Possible",1,1,1,1,1,1,0,0,0,0,0,0,"YEM036","","Yemen","Abyan","Zingibar"
"18",18,"YEM043",43,"Zinjibar","Abyan","Zinjibar, Yemen",45.3812081,13.1285811,"18/03/2012","Zinjibar","Abyan","Airstrike
Possible naval bombardment
Possible drone strike","Possible",1,1,1,2,14,18,0,0,0,0,0,0,"www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM043","","Yemen","Abyan","Zingibar"
"19",19,"YEM044",44,"Jaar","Abyan","Jaar, Yemen",45.305762,13.2231254,"18/03/2012","Jaar","Abyan","Airstrike","Possible",1,0,1,1,8,8,0,0,0,0,0,0,"www.thebureauinvestigates.com/2012/05/08/yemen-reported-us-covert-action-2012/#YEM044","","Yemen","Abyan","Khanfir"
